Depth,Site,Paraffin,Methoxy,Carbohydrate,Aromatic C,Sub Aromatic C,O-Sub Aromatic C,Carboxyl
10,Reference,13.54807791,9.38760141,34.19436552,16.68640674,10.37894088,8.958340465,6.846267073
20,Reference,16.34336601,10.30305122,32.08201022,15.71862488,10.6302637,8.019467072,6.903216899
30,Reference,15.07949283,10.11676283,36.45092989,15.72583641,9.406651643,7.029295956,6.191030435
40,Reference,15.72960251,10.61902271,32.46351365,16.12559773,10.76658697,8.069336521,6.226339908
80,Reference,13.31597977,10.37103663,31.97562559,17.25865345,11.94238776,9.179716585,5.956600211
10,Reference,17.49080528,11.21473213,33.97186286,15.69249762,9.13145238,7.354749106,5.14390062
30,Reference,16.56724621,10.08726659,34.91467714,15.50087803,9.043686913,7.183742409,6.702502715
80,Reference,20.14461985,11.78561357,29.67686668,14.90467753,10.6895249,7.477878696,5.320818768
130,Reference,19.96407026,11.7148687,27.4827005,15.46531228,12.25337119,8.683907026,4.43577005
10,Reference,18.50834444,11.51843593,33.88464898,15.24355202,8.659946669,6.438209737,5.746862213
40,Reference,23.52688044,9.266074105,25.90924604,14.24448368,11.44737428,8.186553101,7.419388346
80,Reference,16.24145179,9.564079831,32.56722322,15.89921322,10.98015388,8.547904099,6.19997396
